,,,,,,,,,,,,,,,,,,,,,
"□ 조립 리드타임 실적 집계 (HN5010 이후, 16년 5월 이후)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,기본정보,,,,,,,,,기타 정보,,,,계획,실적,,,,,,
,팀,세부공정,선종,프로젝트,블럭,Ass'y,PCG,PCG명,업체명,Weight,길이(L),폭(B),높이(H),계획L/T,착수,완료,실적L/T,,,,
,조립1팀,중조립,115K PC,HN5010,B58P,SS2,CS4,HOPPER (CURVE),(유)예솔기업,, 0.0, 0.0, 0.0,12,2016/7/5,2016/7/18,10 ,,,,
,조립1팀,중조립,115K PC,HN5010,B58S,SS1,CS4,HOPPER (CURVE),(유)예솔기업,, 0.0, 0.0, 0.0,12,2016/7/6,2016/7/19,10 ,,,,
,조립1팀,중조립,115K PC,HN5010,B58S,SS2,CS4,HOPPER (CURVE),(유)예솔기업,, 0.0, 0.0, 0.0,12,2016/7/6,2016/7/19,10 ,,,,
,조립1팀,중조립,115K PC,HN5010,E21P,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 10.6, 7.7, 5.9,10,2016/6/18,2016/7/1,10 ,,,,
,조립1팀,중조립,115K PC,HN5010,E21S,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 10.6, 7.7, 5.9,10,2016/6/18,2016/7/1,10 ,,,,
,조립1팀,중조립,115K PC,HN5010,E31P,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 20.3, 5.5, 0.0,10,2016/6/20,2016/7/4,11 ,,,,
,조립1팀,중조립,115K PC,HN5010,E32S,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 0.0, 0.0, 0.0,14,2016/6/17,2016/7/1,11 ,,,,
,조립1팀,중조립,115K PC,HN5010,E41P,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 18.4, 5.8, 0.0,10,2016/6/21,2016/7/5,11 ,,,,
,조립1팀,중조립,115K PC,HN5010,E41S,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 18.4, 5.8, 0.0,10,2016/6/24,2016/7/7,10 ,,,,
,조립1팀,중조립,115K PC,HN5010,E42P,LB7,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 5.6, 4.9, 4.2,6,2016/6/28,2016/7/5,6 ,,,,
,조립1팀,중조립,115K PC,HN5010,E42P,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 18.1, 7.5, 0.0,10,2016/6/23,2016/7/5,9 ,,,,
,조립1팀,중조립,115K PC,HN5010,E42S,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 18.1, 7.5, 0.0,10,2016/6/21,2016/7/7,13 ,,,,
,조립1팀,중조립,115K PC,HN5010,E51P,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 17.9, 4.7, 2.3,8,2016/6/30,2016/7/12,9 ,,,,
,조립1팀,중조립,115K PC,HN5010,E51S,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 17.8, 4.7, 2.3,8,2016/6/28,2016/7/11,10 ,,,,
,조립1팀,중조립,115K PC,HN5010,E52P,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 17.2, 5.0, 5.9,10,2016/7/4,2016/7/14,9 ,,,,
,조립1팀,중조립,115K PC,HN5010,E52S,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 17.0, 5.0, 2.3,10,2016/6/28,2016/7/11,10 ,,,,
,조립1팀,중조립,115K PC,HN5010,F11C,TB98A,FB1,FORE BODY BOTTOM,(유)한울기업,,2.6,11.5,4.7,8,2016/7/22,2016/7/28,5 ,,,,
,조립1팀,중조립,115K PC,HN5010,F11C,TB98M,FB1,FORE BODY BOTTOM,(유)한울기업,,2.6,11.5,4.7,8,2016/7/22,2016/7/28,5 ,,,,
,조립1팀,중조립,115K PC,HN5010,F41P,TB981,FL2,FORE BODY B/MOUTH,(유)예솔기업,,7.5 ,5.1 ,1.0 ,5,2016/6/29,2016/7/5,5 ,,,,
,조립1팀,중조립,115K PC,HN5010,F41P,SS1,FL2,FORE BODY B/MOUTH,(유)예솔기업,, 0.0, 0.0, 0.0,10,2016/7/4,2016/7/18,11 ,,,,
,조립1팀,중조립,115K PC,HN5010,F41P,SS2,FL2,FORE BODY B/MOUTH,(유)예솔기업,, 0.0, 0.0, 0.0,10,2016/7/4,2016/7/18,11 ,,,,
